variable,metric,model,bin_lo,bin_hi,n_jets,signal_fraction,value
jet_pT,auc,so3c_equivariant_set,312.779,535.982,67334,0.6539,0.89773
jet_pT,auc,so3c_equivariant_set,535.982,555.485,67333,0.5706,0.96957
jet_pT,auc,so3c_equivariant_set,555.485,571.260,67333,0.4729,0.98158
jet_pT,auc,so3c_equivariant_set,571.260,589.211,67333,0.4732,0.98216
jet_pT,auc,so3c_equivariant_set,589.211,611.070,67333,0.4595,0.98443
jet_pT,auc,so3c_equivariant_set,611.070,649.996,67334,0.3711,0.99074
jet_pT,auc,so3c_invariant_set,312.779,535.982,67334,0.6539,0.88444
jet_pT,auc,so3c_invariant_set,535.982,555.485,67333,0.5706,0.96330
jet_pT,auc,so3c_invariant_set,555.485,571.260,67333,0.4729,0.97757
jet_pT,auc,so3c_invariant_set,571.260,589.211,67333,0.4732,0.97826
jet_pT,auc,so3c_invariant_set,589.211,611.070,67333,0.4595,0.98071
jet_pT,auc,so3c_invariant_set,611.070,649.996,67334,0.3711,0.98851
jet_pT,auc,eta_invariants,312.779,535.982,67334,0.6539,0.82257
jet_pT,auc,eta_invariants,535.982,555.485,67333,0.5706,0.93844
jet_pT,auc,eta_invariants,555.485,571.260,67333,0.4729,0.96139
jet_pT,auc,eta_invariants,571.260,589.211,67333,0.4732,0.96172
jet_pT,auc,eta_invariants,589.211,611.070,67333,0.4595,0.96642
jet_pT,auc,eta_invariants,611.070,649.996,67334,0.3711,0.97737
jet_mass,auc,so3c_equivariant_set,0.000,61.123,67334,0.0001,nan
jet_mass,auc,so3c_equivariant_set,61.123,91.408,67333,0.0061,0.78517
jet_mass,auc,so3c_equivariant_set,91.408,137.988,67333,0.3576,0.87948
jet_mass,auc,so3c_equivariant_set,137.988,156.609,67332,0.8719,0.83119
jet_mass,auc,so3c_equivariant_set,156.609,170.031,67334,0.9306,0.85960
jet_mass,auc,so3c_equivariant_set,170.031,303.480,67334,0.8349,0.91230
jet_mass,auc,so3c_invariant_set,0.000,61.123,67334,0.0001,nan
jet_mass,auc,so3c_invariant_set,61.123,91.408,67333,0.0061,0.77481
jet_mass,auc,so3c_invariant_set,91.408,137.988,67333,0.3576,0.86615
jet_mass,auc,so3c_invariant_set,137.988,156.609,67332,0.8719,0.79694
jet_mass,auc,so3c_invariant_set,156.609,170.031,67334,0.9306,0.80728
jet_mass,auc,so3c_invariant_set,170.031,303.480,67334,0.8349,0.87876
jet_mass,auc,eta_invariants,0.000,61.123,67334,0.0001,nan
jet_mass,auc,eta_invariants,61.123,91.408,67333,0.0061,0.76579
jet_mass,auc,eta_invariants,91.408,137.988,67333,0.3576,0.82818
jet_mass,auc,eta_invariants,137.988,156.609,67332,0.8719,0.63266
jet_mass,auc,eta_invariants,156.609,170.031,67334,0.9306,0.56025
jet_mass,auc,eta_invariants,170.031,303.480,67334,0.8349,0.72130
jet_mass,rej,so3c_equivariant_set,0.000,61.123,67334,0.0001,nan
jet_mass,rej,so3c_equivariant_set,61.123,91.408,67333,0.0061,17.96028
jet_mass,rej,so3c_equivariant_set,91.408,137.988,67333,0.3576,46.55759
jet_mass,rej,so3c_equivariant_set,137.988,156.609,67332,0.8719,26.06647
jet_mass,rej,so3c_equivariant_set,156.609,170.031,67334,0.9306,40.96491
jet_mass,rej,so3c_equivariant_set,170.031,303.480,67334,0.8349,87.52756
jet_mass,rej,so3c_invariant_set,0.000,61.123,67334,0.0001,nan
jet_mass,rej,so3c_invariant_set,61.123,91.408,67333,0.0061,14.89097
jet_mass,rej,so3c_invariant_set,91.408,137.988,67333,0.3576,39.75368
jet_mass,rej,so3c_invariant_set,137.988,156.609,67332,0.8719,18.12605
jet_mass,rej,so3c_invariant_set,156.609,170.031,67334,0.9306,20.57269
jet_mass,rej,so3c_invariant_set,170.031,303.480,67334,0.8349,39.14085
jet_mass,rej,eta_invariants,0.000,61.123,67334,0.0001,nan
jet_mass,rej,eta_invariants,61.123,91.408,67333,0.0061,13.40545
jet_mass,rej,eta_invariants,91.408,137.988,67333,0.3576,18.95355
jet_mass,rej,eta_invariants,137.988,156.609,67332,0.8719,5.78672
jet_mass,rej,eta_invariants,156.609,170.031,67334,0.9306,4.07149
jet_mass,rej,eta_invariants,170.031,303.480,67334,0.8349,8.95729
