variable,metric,model,bin_lo,bin_hi,n_jets,signal_fraction,value
jet_pT,auc,so3c_equivariant_set,360.303,536.249,2500,0.6472,0.88619
jet_pT,auc,so3c_equivariant_set,536.249,555.454,2500,0.5644,0.96799
jet_pT,auc,so3c_equivariant_set,555.454,571.486,2500,0.4828,0.97658
jet_pT,auc,so3c_equivariant_set,571.486,588.949,2500,0.4792,0.97877
jet_pT,auc,so3c_equivariant_set,588.949,610.703,2500,0.4452,0.97909
jet_pT,auc,so3c_equivariant_set,610.703,649.970,2500,0.3556,0.99099
jet_pT,auc,so3c_invariant_set,360.303,536.249,2500,0.6472,0.86476
jet_pT,auc,so3c_invariant_set,536.249,555.454,2500,0.5644,0.96046
jet_pT,auc,so3c_invariant_set,555.454,571.486,2500,0.4828,0.97102
jet_pT,auc,so3c_invariant_set,571.486,588.949,2500,0.4792,0.97233
jet_pT,auc,so3c_invariant_set,588.949,610.703,2500,0.4452,0.97447
jet_pT,auc,so3c_invariant_set,610.703,649.970,2500,0.3556,0.98696
jet_pT,auc,eta_invariants,360.303,536.249,2500,0.6472,0.81966
jet_pT,auc,eta_invariants,536.249,555.454,2500,0.5644,0.93454
jet_pT,auc,eta_invariants,555.454,571.486,2500,0.4828,0.95537
jet_pT,auc,eta_invariants,571.486,588.949,2500,0.4792,0.95949
jet_pT,auc,eta_invariants,588.949,610.703,2500,0.4452,0.96359
jet_pT,auc,eta_invariants,610.703,649.970,2500,0.3556,0.97679
jet_mass,auc,so3c_equivariant_set,0.000,61.469,2500,0.0000,nan
jet_mass,auc,so3c_equivariant_set,61.469,90.809,2500,0.0076,nan
jet_mass,auc,so3c_equivariant_set,90.809,137.652,2500,0.3456,0.87861
jet_mass,auc,so3c_equivariant_set,137.652,156.370,2500,0.8672,0.80818
jet_mass,auc,so3c_equivariant_set,156.370,169.664,2500,0.9200,0.80815
jet_mass,auc,so3c_equivariant_set,169.664,284.583,2500,0.8340,0.89661
jet_mass,auc,so3c_invariant_set,0.000,61.469,2500,0.0000,nan
jet_mass,auc,so3c_invariant_set,61.469,90.809,2500,0.0076,nan
jet_mass,auc,so3c_invariant_set,90.809,137.652,2500,0.3456,0.85753
jet_mass,auc,so3c_invariant_set,137.652,156.370,2500,0.8672,0.75658
jet_mass,auc,so3c_invariant_set,156.370,169.664,2500,0.9200,0.74590
jet_mass,auc,so3c_invariant_set,169.664,284.583,2500,0.8340,0.85218
jet_mass,auc,eta_invariants,0.000,61.469,2500,0.0000,nan
jet_mass,auc,eta_invariants,61.469,90.809,2500,0.0076,nan
jet_mass,auc,eta_invariants,90.809,137.652,2500,0.3456,0.83097
jet_mass,auc,eta_invariants,137.652,156.370,2500,0.8672,0.62406
jet_mass,auc,eta_invariants,156.370,169.664,2500,0.9200,0.54290
jet_mass,auc,eta_invariants,169.664,284.583,2500,0.8340,0.72564
jet_mass,rej,so3c_equivariant_set,0.000,61.469,2500,0.0000,nan
jet_mass,rej,so3c_equivariant_set,61.469,90.809,2500,0.0076,nan
jet_mass,rej,so3c_equivariant_set,90.809,137.652,2500,0.3456,34.80851
jet_mass,rej,so3c_equivariant_set,137.652,156.370,2500,0.8672,11.85714
jet_mass,rej,so3c_equivariant_set,156.370,169.664,2500,0.9200,14.28571
jet_mass,rej,so3c_equivariant_set,169.664,284.583,2500,0.8340,51.87500
jet_mass,rej,so3c_invariant_set,0.000,61.469,2500,0.0000,nan
jet_mass,rej,so3c_invariant_set,61.469,90.809,2500,0.0076,nan
jet_mass,rej,so3c_invariant_set,90.809,137.652,2500,0.3456,27.26667
jet_mass,rej,so3c_invariant_set,137.652,156.370,2500,0.8672,8.97297
jet_mass,rej,so3c_invariant_set,156.370,169.664,2500,0.9200,10.00000
jet_mass,rej,so3c_invariant_set,169.664,284.583,2500,0.8340,37.72727
jet_mass,rej,eta_invariants,0.000,61.469,2500,0.0000,nan
jet_mass,rej,eta_invariants,61.469,90.809,2500,0.0076,nan
jet_mass,rej,eta_invariants,90.809,137.652,2500,0.3456,16.69388
jet_mass,rej,eta_invariants,137.652,156.370,2500,0.8672,6.14815
jet_mass,rej,eta_invariants,156.370,169.664,2500,0.9200,4.16667
jet_mass,rej,eta_invariants,169.664,284.583,2500,0.8340,9.02174
