coeff_norm,bound,act_rel_err,feat_abs_err
0.0,none,0.0,3.418438119650192e-14
0.0,euclidean,0.7171119429566429,0.1434393799629786
0.0,eta,8.620974379367157e-15,1.4014016116721366e-15
0.01,none,0.013177452984307045,3.845864878526694e-13
0.01,euclidean,0.7171110991936833,0.14343937996297862
0.01,eta,0.0038218145235103555,4.39024545748545e-15
0.03,none,0.03853187065650035,8.07872799114416e-11
0.03,euclidean,0.7171246740114157,0.14343937996297862
0.03,eta,0.01116076921551446,6.566319236866384e-13
0.1,none,0.1190714615982533,2.7600573929143285e-08
0.1,euclidean,0.7172689927664213,0.1434393799629786
0.1,eta,0.03408469855941497,2.1961360165460663e-10
0.3,none,0.35564098423910206,0.00012205164078268923
0.3,euclidean,0.7179524013735711,0.14343937996297862
0.3,eta,0.08344591458412057,3.932670465417125e-08
1.0,none,nan,nan
1.0,euclidean,0.7199407396571881,0.143439379962978
1.0,eta,6.982121158666221e+60,9.716243679198441e+120
3.0,none,nan,nan
3.0,euclidean,0.7220632419593601,0.1434393799629763
3.0,eta,nan,nan
