model,n_params,n_seeds,auc,auc_std,bg_rej_30,bg_rej_30_std,origin
gelu_bottleneck,44,1,0.74878,0.00000,nan,nan,measured
relu_bottleneck,44,1,0.75900,0.00000,nan,nan,measured
so33_frozen,44,1,0.75143,0.00000,nan,nan,measured
tanh_bottleneck,44,1,0.74396,0.00000,nan,nan,measured
so33_signature_only,50,1,0.74999,0.00000,nan,nan,measured
so33,59,1,0.71956,0.00000,nan,nan,measured
so33_multi,230,1,0.74913,0.00000,nan,nan,measured
gelu_mlp,1794,1,0.75414,0.00000,nan,nan,measured
relu_mlp,1794,1,0.76085,0.00000,nan,nan,measured
tanh_mlp,1794,1,0.75294,0.00000,nan,nan,measured
eta_invariants,4802,3,0.94466,0.00044,46.4,5.4,measured
so3c_invariant_set,5506,3,0.96293,0.00174,136.3,30.2,measured
gelu_mlp,9053,1,0.76313,0.00000,8.5,0.0,measured
relu_mlp,9053,1,0.76201,0.00000,8.1,0.0,measured
so3c_equivariant_set,9056,3,0.97109,0.00125,200.7,48.2,measured
LGN,4500,,0.964,,435,,quoted
ParticleNet,498000,,0.986,,1615,,quoted
LorentzNet,220000,,0.987,,2195,,quoted
PELICAN,208000,,0.987,,2250,,quoted
